"dp_id","dp_name","dp_cust_id","dp_desc","dp_img1","dp_img2","dp_img3","dp_video","dp_qty","dp_cat_id","dp_cat_sub_id","dp_status","dp_datetime","dp_brand","dp_featured","dp_featured_date","dp_featured_outofstock","dp_featured_time","dp_pack_type","dp_pack_qnty"
"7","f1","20190818025614",,"20200924010634_5f6c4c8264f48.jpg",,,,"-13","6","5","1","2019-08-18 02:57 pm",,"0",,"0","20201004124346","Box","50"
"8","f2","20190818025722",,"20200924010634_5f6c4c8266d8a.jpg",,,,"0","6","5","1","2019-08-18 02:58 pm",,"0",,"0","20201004124346","Box","50"
"9","f102","20190818025848",,"20200924011203_5f6c4dcb4d076.jpg",,,,"1","6","5","1","2019-08-18 02:59 pm",,"0",,"0","20201004124346","Box","50"
"10","f3","20190818025922",,"20200924010634_5f6c4c8267c33.jpg",,,,"-16","6","5","1","2019-08-18 03:00 pm",,"0",,"0","20201004124346","Box","50"
"11","f97","20190818030015",,"20200924011203_5f6c4dcb482bd.jpg",,,,"-49","6","5","1","2019-08-18 03:00 pm",,"0",,"0","20201004124346","Box","50"
"12","f95","20190818030036",,"20190818030056_5d591ad0bb48f.jpg",,,,"1","6","5","0","2019-08-18 03:00 pm",,"0",,"0",,,
"13","f4","20190818030056",,"20200307031303_5e636ca73122c.jpg",,,,"1","6","5","1","2019-08-18 03:01 pm",,"0",,"0","20201004124346","Box","50"
"14","f5","20190818030123",,"20200924010634_5f6c4c826e616.jpg",,,,"-99","6","5","1","2019-08-18 03:01 pm",,"0",,"0","20201004124346","Box","50"
"15","f6","20190818030144",,"20200924010634_5f6c4c826f409.jpg",,,,"-49","6","5","1","2019-08-18 03:02 pm",,"0",,"0","20201004124346","Box","50"
"16","f7","20190818030208",,"20200924010634_5f6c4c8270155.jpg",,,,"-49","6","5","1","2019-08-18 03:02 pm",,"0",,"0","20201004124346","Box","50"
"17","f8","20190818030239",,"20200924010634_5f6c4c82708dd.jpg",,,,"21","6","5","1","2019-08-18 03:03 pm",,"1","29-01-2021","0","20210129181727","Box","1"
"18","f911","20190818030305",,"20200924014823_5f6c564fd6fdf.jpg",,,,"250","6","5","1","2019-08-18 03:04 pm","0","0",,"0","20201004124347","Box","50"
"19","f9","20190818030405",,"20200924010634_5f6c4c8271604.jpg",,,,"1","6","5","1","2019-08-18 03:04 pm",,"0",,"0","20201004124346","Box","50"
"20","f10","20190818030429",,"20190818030453_5d591bbd041e8.jpg",,,,"1","6","5","0","2019-08-18 03:04 pm",,"0",,"0",,,
"21","f11","20190818030453",,"20200924010634_5f6c4c8273289.jpg",,,,"-49","6","5","1","2019-08-18 03:05 pm",,"0",,"0","20201004124346","Box","50"
"22","f12","20190818030522",,"20200924010634_5f6c4c8274034.jpg",,,,"-49","6","5","1","2019-08-18 03:05 pm",,"0",,"0","20201004124346","Box","50"
"23","f13","20190818030546",,"20200924010634_5f6c4c82747ac.jpg",,,,"1","6","5","1","2019-08-18 03:06 pm",,"0",,"0","20201004124346","Box","50"
"24","f14","20190818030608",,"20200924010634_5f6c4c82755c9.jpg",,,,"-17","6","5","1","2019-08-18 03:06 pm",,"0",,"0","20201004124346","Box","50"
"25","f15","20190818030632",,"20200924010634_5f6c4c8276604.jpg",,,,"1","6","5","1","2019-08-18 03:07 pm",,"0",,"0","20201004124346","Box","50"
"26","f16","20190818030709",,"20200924010634_5f6c4c8277418.jpg",,,,"37","6","5","1","2019-08-18 03:07 pm",,"1","05-02-2021","0","20210205191025","Box","1"
