"dcs_id","dcs_cat_id","dcs_name","dcs_picture","dcs_status","dcs_datetime","cat_rate","cat_rate_type","packing_material","packing_box","dcs_userid","dcs_packing_qnty"
"1","1","tl tops latkan",,"1","2019-11-24 03:05 pm","20","paise","8","6","1",
"2","0","chudi",,"1","2022-07-15 03:06 pm","30","paise","45","5","1",
"3","15","jh jhumki",,"1","2019-11-24 02:31 pm","20","paise","8","9","1",
"4","2","bl  bali latkan",,"1","2019-11-24 03:06 pm","20","paise","8","6","1",
"5","6","fr finger rings",,"1","2019-12-13 06:10 pm","3","paise","40","6","1",
"6","0","ms tops",,"1","2022-07-26 10:26 am",NULL,NULL,NULL,NULL,"1",
"7","5","p pendal",,"1","2019-11-24 03:06 pm","13","paise","12","7","1",
"8","0","hs tops",,"1","2022-07-26 10:26 am","20","paise","8","6","1",
"9","4","n nath",,"1","2019-11-24 03:07 pm","15","paise","12","7","1",
"10","7","har set",,"1","2020-01-08 03:45 pm","60","paise","38","15","1",
"11","8","br bracelets",,"1","2019-11-24 03:07 pm","40","paise","11","12","1",
"12","9","tika",,"1","2021-01-07 06:38 pm","40","paise","49","7","1",
"13","10","dn (double naka )",,"1","2020-03-18 03:50 pm",NULL,NULL,NULL,NULL,"1",
"14","11","htah fools",,"1","2019-12-15 03:11 pm",NULL,NULL,NULL,NULL,"1",
"15","2","b bali",,"1","2019-11-24 03:08 pm","25","paise","8","6","1",
"16","1","tops 2",,"1","2020-01-14 04:36 pm","20","paise","8","6","1",
"17","0","ms mangal sutra",,"1","2022-07-15 03:47 pm","50","paise","10","15","1",
"18","13","e earings",,"1","2019-11-24 03:07 pm","20","paise","8","9","1",
"19","14","bk bracelete kada",,"1","2019-12-30 06:52 pm","20","paise","45","7","1",
"20","1","tops",,"1","2019-11-29 04:10 pm","20","paise","8","6","1",
"21","16","ps pendal set",,"1","2019-12-13 11:49 am","70","paise","10","15","1",
"22","10","sk (single naka chain)",,"1","2020-03-18 03:51 pm",NULL,NULL,NULL,NULL,"1",
"23","10","hsc (har set  chain)",,"1","2020-07-09 03:22 pm",NULL,NULL,NULL,NULL,"1",
"24","17","dk dokya",,"1","2020-10-06 03:02 pm",NULL,NULL,NULL,NULL,"1",
"25","0","jhb jhumki bali",,"1","2022-09-02 02:42 pm",NULL,NULL,NULL,NULL,"1",
"26","5","chai pendant (cp)",,"1","2021-02-01 04:43 pm","50","paise","34","9","1",
"27","0","product catalogue",,"1","2022-09-02 02:55 pm","0","rupee","22","14","1",
"28","0","z1",,"1","2022-09-02 02:55 pm",NULL,NULL,NULL,NULL,"1",
"29","0","z3",,"1","2022-09-02 02:55 pm",NULL,NULL,NULL,NULL,"1",
"227","0","sari pin",,"1","2021-08-10 16:24 pm","30","paise","49","15","1",
"464","0","ps tops",,"1","2022-07-26 10:27 am",NULL,NULL,NULL,NULL,"1",
"496","0","mp (mangalsutra from pendant)",,"1","2022-09-02 02:55 pm","125","paise","49","7","1",
"497","0","z5",,"1","2022-09-02 02:56 pm",NULL,NULL,NULL,NULL,"1",
"498","0","z2",,"1","2022-09-02 02:56 pm",NULL,NULL,NULL,NULL,"1",
